,years_of_experience,aerodynamics_score,technological_score,Leader,Leadership_score,distance,route_match,fuel_consumption,engine_temperature,body_weight,sensor_equipped
73,18,49,8,1,636,848,11,75,36,1255,1
74,3,46,9,1,538,850,70,39,63,2215,0
75,1,29,9,0,358,548,55,32,58,3215,0
76,8,26,6,0,342,511,79,56,37,2705,0
77,1,43,6,1,477,513,2,118,63,1427,1
78,10,10,3,0,171,750,77,72,80,2161,0
79,9,29,6,0,377,684,13,82,38,2430,0
80,3,40,5,0,450,820,52,40,78,1827,0
81,3,18,1,0,202,626,67,77,67,1930,1
82,9,6,8,0,161,623,25,81,51,1934,1
83,10,34,9,1,453,933,6,84,39,3745,1
84,3,14,10,0,225,854,90,93,75,3084,1
85,19,21,8,1,361,503,50,93,78,2360,0
86,17,21,7,0,344,964,46,93,55,3302,1
87,1,34,10,1,415,817,59,122,56,2661,1
88,11,36,1,0,422,672,95,106,59,1690,1
89,8,45,10,1,560,632,82,112,41,2475,1
90,14,41,4,0,508,594,26,47,69,1390,1
91,13,11,5,1,210,923,14,43,69,3940,1
92,1,36,2,0,379,562,44,125,66,3058,0
93,20,12,3,0,241,722,19,119,56,2530,0
94,18,24,8,0,386,996,35,126,54,2972,1
95,11,50,8,1,611,563,13,103,54,3331,0
96,9,18,3,0,246,826,40,110,48,2066,1
97,16,16,2,0,254,804,61,95,40,2540,1
98,20,12,3,0,241,887,98,138,63,1439,1
99,3,26,10,0,345,660,83,32,63,2245,0
100,12,43,7,1,539,907,12,120,67,3697,0
101,17,12,6,0,247,875,35,41,41,3367,1
102,8,45,5,0,525,642,74,45,62,3789,0
103,3,28,5,0,330,757,55,94,64,1487,1
104,4,35,5,0,405,758,96,130,79,2849,1
105,20,49,6,1,632,661,53,145,69,3832,1
106,12,7,9,0,193,511,8,112,50,3280,1
107,14,22,10,0,360,682,76,31,58,3140,0
108,18,31,2,0,414,641,9,128,55,3512,0
109,6,16,3,0,211,892,20,42,48,2119,1
110,15,38,6,1,497,831,87,137,79,1523,0
111,18,46,8,1,606,840,4,44,63,1748,0
112,12,23,3,0,311,862,18,66,53,2690,0
113,11,39,3,1,466,682,12,149,58,3481,0
114,0,44,9,0,503,763,14,146,63,2439,0
115,17,13,1,0,222,542,44,122,61,2984,1
116,2,15,9,0,223,688,68,37,40,3247,0
117,2,45,8,1,516,834,33,63,39,3247,1
118,3,5,2,0,79,628,91,39,72,2548,0
119,13,44,9,1,568,895,68,58,79,2234,1
120,20,29,10,1,460,943,29,55,57,2336,1
121,3,12,7,0,184,912,62,120,49,2608,1
122,19,20,7,0,344,933,72,79,40,2891,1
123,11,10,2,0,169,902,46,77,55,2709,1
124,5,30,9,0,388,818,65,36,78,1275,1
125,20,38,7,1,529,992,14,107,61,1779,0
126,6,10,7,0,179,568,82,60,44,3281,0
127,7,5,9,1,148,644,50,109,68,3634,0
128,15,6,1,0,142,614,17,118,42,1639,0
129,2,21,5,0,255,615,6,70,57,2811,0
130,1,32,6,0,367,748,24,143,71,2588,0
131,12,34,2,0,414,645,80,66,44,3134,0
132,17,41,6,1,537,842,42,48,79,2621,0
133,0,42,2,0,434,865,0,139,80,3753,0
134,8,11,2,0,164,510,52,150,52,3841,0
135,4,33,5,1,385,782,35,96,56,1715,1
136,9,23,10,0,345,796,88,124,59,3215,0
137,16,16,1,0,247,932,68,58,79,1652,1
138,1,15,5,0,190,807,19,66,58,1363,1
139,20,25,1,0,357,701,69,140,48,1542,0
140,18,32,7,1,459,826,59,80,69,1746,0
141,13,42,8,1,541,780,30,91,37,1235,1
142,16,43,9,1,573,801,10,117,68,1723,0
143,12,19,3,0,271,989,22,36,42,1647,1
144,1,8,4,0,113,695,80,88,60,1749,0
145,13,34,8,1,461,592,3,101,44,3640,1
146,10,26,2,0,324,846,6,69,48,2983,1
147,19,35,9,1,508,881,91,97,54,2710,1
148,2,10,2,0,124,617,87,148,49,1993,0
149,8,34,5,0,415,759,87,113,46,2148,0
150,13,8,10,0,215,891,50,80,51,3593,0
151,20,33,5,1,465,943,78,111,76,2290,0
152,13,9,2,0,169,655,0,138,36,3042,1
153,17,8,10,0,235,849,94,120,78,1641,0
154,11,16,4,0,243,777,6,40,69,1359,1
155,11,25,6,0,347,953,70,48,54,2731,0
156,0,9,2,0,104,821,12,49,57,1246,0
157,6,42,4,1,478,580,43,109,46,1743,0
158,19,43,8,1,581,874,67,83,41,1217,1
159,10,14,3,0,211,739,77,64,54,1705,1
160,1,44,5,1,480,966,56,82,56,2950,1
161,5,38,8,1,461,838,43,96,72,1345,1
162,20,30,10,1,470,736,15,52,40,3464,0
163,4,7,5,0,125,809,35,125,77,3372,1
164,14,15,8,0,276,505,54,106,61,1494,1
165,13,36,3,0,446,598,71,52,44,1457,0
166,6,19,7,0,269,865,98,84,79,3044,1
167,20,48,9,1,643,715,14,67,58,3276,1
168,12,37,2,0,444,645,32,58,69,1295,0
169,15,26,6,0,377,824,90,82,78,3671,0
170,13,36,10,0,495,789,34,100,38,3289,0
171,10,18,9,0,293,937,21,67,50,2088,0
172,1,47,1,1,482,935,82,126,42,3984,0
173,9,22,8,0,321,577,45,133,79,2870,0
174,17,10,4,0,213,734,48,123,56,1394,1
175,9,42,9,1,528,939,40,140,71,1958,0
176,0,14,1,0,147,916,25,67,42,1926,0
177,1,31,2,0,329,705,14,87,44,1476,0
178,0,14,4,0,168,547,52,128,80,3093,1
179,3,28,9,0,358,688,40,131,74,3542,1
180,6,38,8,1,466,883,37,95,41,2325,0
181,15,34,3,0,436,837,39,127,69,1431,0
182,1,19,8,0,251,731,28,143,77,3483,1
183,19,15,7,0,294,867,70,56,37,2756,0
184,9,25,3,0,316,680,73,43,47,2411,0
185,15,31,3,0,406,583,4,57,36,2756,1
186,6,38,9,1,473,942,71,76,38,1949,0
187,12,32,10,0,450,677,74,65,54,2456,0
188,4,39,8,1,466,550,88,68,52,2796,0
189,6,34,9,0,433,601,72,31,77,2903,0
190,15,11,9,0,248,951,48,135,71,2915,0
191,19,48,2,1,589,666,29,51,76,1434,0
192,15,45,2,1,539,894,32,137,56,2092,1
193,19,9,5,0,220,646,31,40,57,2161,1
194,10,17,7,0,269,984,32,107,45,2945,1
195,15,34,6,1,457,827,22,103,43,3365,0
196,20,19,2,0,304,892,77,52,63,1497,1
197,3,18,6,0,237,850,19,147,56,2830,1
198,12,14,1,0,207,584,79,121,43,3067,1
199,12,46,10,1,590,779,100,143,61,2104,0
200,19,37,1,1,472,675,52,87,56,2911,0
201,18,44,1,1,537,733,13,57,36,3206,0
202,6,23,8,0,316,735,5,65,74,3750,0
203,10,10,7,0,199,901,63,61,43,3741,0
204,12,13,9,0,253,981,31,134,39,2947,1
205,6,9,4,0,148,638,42,105,53,3947,0
206,11,20,7,0,304,996,7,93,49,2838,0
207,16,32,4,0,428,979,98,51,56,3630,0
208,20,39,8,1,546,574,33,93,65,2910,1
209,5,36,5,0,420,767,24,118,52,3176,0
210,7,26,2,0,309,690,26,61,38,2976,0
211,2,44,4,1,478,943,2,138,69,2950,0
212,15,25,8,0,381,623,47,149,66,1536,0
213,4,42,1,0,447,748,60,127,67,2767,1
214,5,37,9,0,458,765,7,77,72,2287,0
215,14,41,4,1,508,844,30,115,61,3474,1
216,16,14,10,0,290,932,9,73,67,2911,1
217,5,16,3,0,206,655,61,116,79,3357,1
218,16,7,5,0,185,818,42,92,41,3169,0
219,12,45,7,1,559,890,86,101,68,3089,1
220,10,5,10,0,170,976,99,126,52,3092,1
221,0,6,10,0,130,641,30,126,36,1633,0
222,7,43,8,1,521,788,0,142,60,1660,0
223,16,34,9,1,483,850,80,78,42,3216,1
224,14,35,6,1,462,791,92,65,49,3930,1
225,8,7,8,0,166,635,11,84,42,3642,0
226,13,41,10,1,545,752,13,80,42,1201,0
227,15,15,6,0,267,573,47,130,75,1361,1
228,0,8,4,0,108,610,11,136,37,3722,1
229,13,42,1,1,492,884,41,122,75,3594,1
230,16,9,6,0,212,521,73,115,44,2698,1
231,15,50,1,1,582,743,57,149,70,3350,0
232,6,22,3,0,271,717,87,141,78,2370,0
233,11,50,4,1,583,922,60,33,77,2141,1
234,11,32,2,0,389,588,59,42,50,3698,0
235,17,14,1,0,232,795,26,59,42,1231,1
236,7,12,1,0,162,905,19,46,80,1365,0
237,1,48,10,1,555,787,71,46,61,3382,0
238,2,27,7,0,329,958,6,80,40,3359,0
239,9,21,6,0,297,746,7,91,67,3246,1
240,5,50,10,1,595,881,38,117,77,3240,0
241,11,11,1,0,172,967,63,122,59,3996,0
242,16,11,2,0,204,740,85,98,63,3006,1
243,1,35,2,0,369,971,63,117,49,3387,1
244,14,18,8,0,306,878,36,62,36,2005,0
245,4,32,6,0,382,939,21,124,41,3881,0
246,20,47,8,1,626,919,38,49,48,2838,0
247,5,17,5,0,230,657,40,135,72,2406,1
248,16,41,3,1,511,859,23,104,62,3116,0
249,11,21,8,0,321,975,20,88,43,2926,1
250,4,33,2,0,364,524,20,106,79,1429,1
251,7,29,10,0,395,730,51,53,48,2408,0
252,20,18,10,0,350,984,1,143,58,1375,1
253,17,40,6,0,527,502,70,86,57,1251,1
254,12,17,4,0,258,861,67,115,45,2716,1
255,19,43,6,1,567,816,5,146,42,3935,0
256,7,18,3,0,236,930,16,44,49,2858,1
257,16,37,8,1,506,904,16,65,60,2514,0
258,16,42,4,1,528,865,33,66,64,2395,1
259,7,39,4,1,453,846,22,64,52,1210,1
260,19,49,8,1,641,654,4,150,80,3460,0
261,18,25,9,0,403,694,30,135,66,3513,0
262,20,45,2,1,564,876,79,65,76,1260,0
263,19,8,2,0,189,882,76,72,48,3349,0
264,8,7,3,0,131,788,12,44,60,2590,1
265,20,11,3,0,231,621,81,39,42,3988,0
266,11,28,2,0,349,592,52,96,58,1209,1
267,14,28,1,0,357,727,64,132,55,3610,0
268,12,34,2,0,414,730,89,84,64,1782,1
269,20,28,3,0,401,622,0,138,73,1225,1
270,6,41,10,0,510,534,78,86,41,2474,1
271,8,10,8,0,196,604,21,123,51,3700,1
272,17,22,2,0,319,725,45,36,67,2714,1
273,6,25,3,0,301,815,21,84,75,3062,1
274,20,32,2,0,434,596,98,149,77,3697,0
275,5,16,3,0,206,978,38,148,71,2442,1
276,17,47,10,0,625,810,13,109,37,1236,0
277,2,31,6,0,362,870,76,35,61,1708,0
278,3,43,4,1,473,796,35,149,75,1671,1
279,8,17,1,0,217,823,80,79,47,1444,0
280,18,45,10,1,610,529,93,78,53,2614,1
281,2,48,2,1,504,628,76,139,70,2284,0
282,2,41,9,1,483,697,58,150,63,2797,1
283,4,28,6,0,342,551,21,77,43,2204,1
284,10,7,3,0,141,818,71,31,46,3601,1
285,16,8,4,0,188,980,45,85,66,1434,0
286,7,21,6,0,287,586,69,58,79,2983,0
287,7,39,3,0,446,653,89,64,47,1567,1
288,11,34,1,0,402,787,87,78,79,3355,0
289,15,15,7,0,274,901,57,44,78,1833,0
290,18,5,9,0,203,711,31,78,71,1560,1
291,11,10,2,0,169,798,26,146,41,2313,0
292,9,35,10,1,465,882,100,123,62,2496,0
293,7,21,9,0,308,546,51,52,55,2504,0
294,18,17,7,1,309,746,33,71,39,3510,1
295,2,22,10,0,300,607,10,134,69,1782,0
296,10,16,4,0,238,892,98,72,76,3207,0
297,13,22,7,0,334,810,1,123,38,2137,1
298,17,41,4,1,523,925,70,134,78,2519,1
299,2,16,1,0,177,618,51,115,38,2429,1
300,18,47,3,1,581,519,46,148,80,1700,1
301,6,6,6,0,132,544,3,34,37,3100,0
302,17,6,6,0,187,659,26,33,53,3504,0
303,7,23,1,1,272,950,28,80,58,1827,1
304,20,36,3,1,481,809,13,62,49,3563,1
305,3,28,4,0,323,855,94,132,53,1816,0
306,11,46,9,1,578,899,31,136,62,1939,0
307,1,44,3,0,466,874,99,142,38,3773,1
308,5,6,8,0,141,501,45,112,63,2579,1
309,19,18,4,0,303,718,93,35,63,2501,0
310,2,9,8,1,156,822,72,38,74,2972,0
311,3,44,2,1,469,936,98,45,66,2591,0
312,15,10,9,0,238,869,45,91,78,2946,0
313,7,34,5,0,410,823,5,100,37,3020,1
314,3,42,1,0,442,578,82,69,38,3362,0
315,11,23,4,0,313,730,18,137,59,2898,1
316,3,23,2,0,259,576,69,90,59,3547,1
317,2,22,9,0,293,592,23,39,64,3266,1
318,17,28,7,0,414,507,33,40,58,3941,0
319,8,22,9,0,323,938,8,76,44,1555,1
320,13,25,3,0,336,677,37,54,42,2390,0
321,5,9,9,0,178,511,66,56,41,2774,0
322,11,37,10,1,495,819,72,105,58,3245,1
323,15,48,8,1,611,631,69,126,77,2402,0
324,2,25,5,0,295,552,45,129,66,1334,1
325,6,14,1,0,177,840,3,77,61,2250,0
326,19,46,3,0,576,505,23,43,47,1359,0
327,5,15,3,0,196,960,71,69,59,3537,1
328,9,47,2,1,529,620,18,72,64,1715,0
329,13,28,3,0,366,805,75,70,37,2663,1
330,13,39,8,1,511,979,32,52,70,3984,0
331,3,46,7,1,524,578,10,108,46,1221,1
332,8,41,10,1,520,570,55,42,50,2616,1
333,7,11,7,0,194,966,10,79,38,3082,1
334,18,23,8,0,376,764,29,145,49,3676,1
335,20,8,9,0,243,586,82,65,69,3859,1
336,0,49,8,1,546,656,95,38,38,1418,0
337,0,50,6,1,542,597,22,65,39,1270,1
338,0,35,3,0,371,958,3,88,54,3127,0
339,16,46,2,1,554,583,21,62,72,3365,1
340,16,38,4,1,488,857,43,59,64,2278,1
341,6,8,10,0,180,757,89,110,73,1524,1
342,9,15,5,0,230,667,42,98,71,3408,1
343,15,41,9,1,548,678,64,120,44,3558,0
344,16,10,6,0,222,963,81,47,74,2902,1
345,9,17,10,0,285,525,45,56,52,2632,1
346,4,50,3,1,541,847,48,120,71,2670,0
347,8,6,2,0,114,755,87,107,70,3602,1
348,12,28,2,0,354,784,58,61,70,3607,0
349,0,40,1,0,407,592,32,48,61,3905,0
350,3,18,3,0,216,616,36,57,64,3206,0
351,7,15,4,1,213,681,99,141,38,3481,1
352,18,48,6,1,612,518,22,67,64,2884,0
353,12,19,2,0,264,801,66,126,79,1262,0
354,6,25,9,1,343,968,52,75,47,3297,1
355,5,34,9,0,428,512,90,134,78,2359,1
356,1,9,9,0,158,979,60,142,69,2334,1
357,13,21,9,0,338,908,26,87,75,1839,0
358,5,24,4,1,293,590,66,110,58,1397,1
359,4,22,1,0,247,891,53,135,42,2429,1
360,18,39,1,1,487,745,43,53,76,1232,1
361,8,47,9,1,573,538,46,144,55,2574,1
362,0,6,6,0,102,623,53,70,70,3453,1
363,9,49,1,0,542,937,11,65,78,2580,1
364,2,28,8,0,346,613,31,37,49,2116,0
365,17,40,4,1,513,903,91,140,79,1465,1
366,16,7,3,0,171,896,13,124,39,1350,1
367,13,49,3,1,576,522,81,105,59,1460,1
368,20,46,3,0,581,932,2,48,76,1599,1
369,19,44,1,1,542,513,48,45,75,3505,0
370,20,10,5,0,235,874,96,110,62,2580,0
371,18,50,3,1,611,883,65,119,60,3287,1
372,4,13,9,0,213,976,42,92,68,3501,1
373,12,21,10,0,340,736,54,135,37,2228,1
374,19,18,8,0,331,788,54,72,64,2559,1
375,14,16,3,0,251,505,39,37,60,1542,1
376,16,34,6,1,462,552,55,56,73,2473,1
377,17,30,3,0,406,690,6,110,37,3291,1
378,2,28,2,0,304,595,73,44,73,2508,1
379,20,9,10,0,260,887,40,117,75,1662,0
380,6,7,7,0,149,551,81,44,54,2366,0
381,8,35,4,0,418,631,99,92,70,3844,0
382,8,28,3,0,341,500,57,134,38,2147,1
383,13,30,7,0,414,668,58,81,56,1900,1
384,12,48,8,1,596,751,97,148,39,3456,1
385,18,31,7,0,449,724,44,62,56,3232,1
386,18,44,10,1,600,796,16,66,60,2400,0
387,6,21,6,0,282,796,50,127,36,2683,0
388,18,13,4,0,248,891,57,104,73,3966,0
389,20,30,3,0,421,960,35,62,40,2093,1
390,1,48,2,1,499,784,74,66,72,3100,1
391,13,31,10,0,445,546,50,54,41,1576,0
392,7,47,7,1,554,900,0,123,37,2070,0
393,20,33,10,1,500,927,58,35,79,3122,1
394,15,36,6,1,477,961,86,98,41,3126,0
395,4,12,10,0,210,866,63,51,58,2190,1
396,3,11,1,0,132,755,43,86,41,1761,0
397,5,6,6,0,127,811,43,129,47,3811,1
398,7,14,10,0,245,552,96,136,73,3557,0
399,14,18,4,0,278,634,44,141,57,1470,1
400,5,23,4,0,283,553,15,37,76,3818,1
401,7,27,10,0,375,716,44,87,39,1928,1
402,16,31,2,0,404,543,13,33,71,1939,1
403,9,32,6,0,407,638,67,117,44,3768,1
404,20,18,2,0,294,646,47,30,71,2157,0
405,17,7,1,0,162,790,92,91,67,2655,0
406,8,9,2,0,144,659,25,144,74,2266,1
407,3,43,9,0,508,929,47,63,38,2356,0
408,4,16,2,0,194,813,68,46,58,3703,0
409,8,36,4,0,428,929,27,58,48,3451,1
410,12,27,4,0,358,761,36,141,39,2976,1
411,5,30,1,0,332,589,28,46,70,2942,0
412,1,35,2,0,369,867,34,97,36,2431,0
413,3,44,8,1,511,614,81,42,51,3583,0
414,10,15,5,0,235,656,49,104,80,1959,0
415,17,37,5,1,490,987,66,93,57,3459,1
416,16,39,2,1,484,592,68,119,78,2801,0
417,2,40,4,0,438,736,8,90,80,3408,1
418,8,42,5,1,495,734,58,76,71,3853,0
419,0,23,7,0,279,507,33,107,65,3436,1
420,2,11,3,0,141,950,88,116,70,1991,0
421,6,22,2,0,264,743,52,41,66,3220,1
422,17,44,3,1,546,502,27,109,74,3715,1
423,4,35,8,0,426,648,66,44,52,1639,1
424,12,16,7,0,269,734,44,112,77,2594,1
425,7,43,2,1,479,748,72,113,62,2867,1
426,8,9,2,0,144,636,95,90,80,2453,1
427,8,26,2,0,314,883,65,125,46,1566,0
428,12,35,6,1,452,723,72,55,47,1966,1
429,19,14,7,0,284,915,16,49,39,2264,1
430,2,43,6,1,482,546,12,110,80,1881,0
431,1,13,9,0,198,788,53,147,73,2713,0
432,16,34,8,1,476,986,0,149,66,1483,1
433,20,5,6,0,192,914,90,75,69,3226,1
434,7,10,1,0,142,660,15,141,61,3241,1
435,10,29,8,0,396,742,24,115,48,2816,0
436,15,21,10,0,355,663,61,117,37,1953,0
437,17,37,10,1,525,921,29,62,59,3288,0
438,5,20,3,0,246,952,34,137,58,2400,0
439,5,16,10,1,255,765,45,77,39,3010,1
440,7,43,9,1,528,645,11,46,71,3849,1
441,16,34,4,0,448,730,94,87,42,2129,1
442,20,20,4,0,328,728,87,40,76,3273,1
443,0,22,6,0,262,508,15,58,55,3317,1
444,13,34,1,0,412,584,44,69,73,3689,0
445,8,10,1,0,147,620,13,76,74,2813,0
446,17,21,9,0,358,988,46,63,61,3271,1
447,0,16,2,0,174,813,5,38,53,1945,1
448,0,13,3,0,151,578,54,109,37,3110,1
449,14,50,1,1,577,920,75,133,79,1903,1
450,16,7,5,0,185,716,41,136,68,1340,1
451,8,20,5,0,275,989,64,123,69,3684,1
452,20,36,9,1,523,682,80,142,58,1799,1
453,16,41,5,1,525,697,90,30,60,2568,1
454,2,33,6,0,382,512,6,83,68,3179,0
455,17,47,4,1,583,671,95,49,75,2086,0
456,3,49,10,1,575,878,1,52,78,2505,0
457,4,30,8,0,376,651,55,52,62,3488,1
458,9,32,9,0,428,525,63,129,50,1761,1
459,7,18,5,0,250,638,27,101,49,2389,1
460,12,23,4,0,318,625,65,115,69,1288,1
461,5,15,2,0,189,702,38,50,56,1958,0
462,20,12,5,0,255,599,70,71,77,3443,0
463,19,42,3,1,536,726,90,83,61,2098,1
464,3,27,8,0,341,558,56,97,48,1797,0
465,18,33,1,0,427,600,91,82,36,2703,0
466,5,6,9,0,148,711,33,54,59,3188,0
467,8,29,6,0,372,604,0,147,66,3838,0
468,4,27,8,0,346,620,42,82,72,2290,0
469,20,43,9,1,593,593,14,32,54,1695,0
470,14,14,9,1,273,886,31,35,41,2158,0
471,5,19,2,0,229,653,19,147,74,1625,0
472,2,46,9,1,533,587,36,111,75,2720,0
473,6,43,10,1,530,686,44,31,60,2898,0
474,11,14,7,0,244,885,49,93,60,2542,0
475,2,22,4,0,258,860,31,68,49,2815,1
476,4,25,5,0,305,847,13,86,80,1346,1
477,17,9,3,0,196,919,54,46,67,3297,1
478,8,25,6,0,332,681,65,30,55,3274,0
479,11,41,6,1,507,517,5,43,63,2540,0
480,0,41,5,0,445,652,64,134,65,3326,0
481,3,17,8,0,241,782,78,60,38,3543,0
482,2,38,9,0,453,774,65,56,41,2693,1
483,5,19,6,0,257,551,83,143,45,1405,0
484,19,30,8,1,451,709,73,103,45,3058,1
485,3,39,1,0,412,930,56,97,48,1280,0
486,17,26,9,0,408,883,77,43,68,3262,0
487,10,44,4,1,518,745,41,87,53,1638,0
488,13,26,5,0,360,677,37,39,79,2193,1
489,8,49,2,1,544,525,21,37,48,1944,0
490,16,10,7,0,229,926,96,114,41,1282,0
491,4,44,9,1,523,942,30,31,36,2208,1
492,3,29,1,0,312,873,95,96,70,2660,1
493,3,42,7,1,484,605,62,40,76,1361,0
494,17,44,9,1,588,522,17,32,46,3861,1
495,5,47,6,0,537,586,17,104,49,2281,0
496,9,32,2,0,379,827,60,102,60,1597,1
497,0,21,1,0,217,917,37,145,79,2050,1
498,13,38,3,1,466,680,75,129,66,1248,1
499,4,42,9,1,503,934,27,118,38,3446,1
500,0,29,2,0,304,633,74,54,48,3555,0
501,5,18,1,0,212,798,94,70,75,2621,0
502,13,8,6,0,187,735,37,83,78,2251,1
503,18,22,9,0,373,989,10,96,69,3474,0
504,20,23,3,0,351,909,85,39,55,3999,1
505,10,40,1,1,457,741,94,102,36,2069,1
506,8,16,6,0,242,639,41,51,38,3107,0
507,6,26,4,0,318,840,61,143,54,2173,0
508,9,37,7,1,464,972,33,50,55,1872,0
509,5,26,6,0,327,681,73,94,80,2325,1
510,7,18,5,0,250,775,7,142,40,2931,0
511,9,8,3,0,146,616,52,64,41,2409,0
512,5,27,2,0,309,617,42,131,74,1350,1
513,7,32,6,0,397,958,86,85,61,2941,0
514,8,34,1,0,387,810,5,85,70,1640,0
515,17,19,8,0,331,594,20,131,59,2019,0
516,5,46,1,1,492,888,39,81,65,1418,1
517,1,13,1,0,142,876,5,73,49,2373,0
518,12,41,1,1,477,833,64,112,43,3746,1
519,4,18,10,0,270,531,11,130,66,2154,0
520,9,30,7,0,394,639,30,150,50,2908,0
521,5,44,8,1,521,975,42,73,44,3934,1
522,14,30,1,0,377,533,65,39,41,1638,1
523,10,49,10,1,610,776,41,134,63,2200,1
524,16,6,2,0,154,772,1,41,65,2066,1
525,6,21,7,1,289,535,97,103,39,1235,1
526,12,45,2,1,524,533,46,78,38,3639,1
527,2,45,2,1,474,776,59,65,48,1689,0
528,0,27,10,0,340,868,48,31,75,2516,1
529,9,41,6,1,497,978,92,139,49,1686,0
530,0,20,8,0,256,890,75,51,36,3940,0
531,9,21,2,0,269,662,64,78,43,3962,1
532,16,39,1,1,477,870,68,127,54,3005,1
533,0,47,2,1,484,515,28,74,67,3038,0
534,17,28,2,0,379,984,38,108,65,2402,0
535,6,46,10,1,560,860,73,98,36,3235,0
536,6,41,9,1,503,605,13,75,65,3635,0
537,9,16,2,0,219,720,67,52,53,3267,1
538,9,29,2,0,349,582,9,102,74,1614,0
539,20,9,5,0,225,608,6,150,68,3576,0
540,15,22,1,0,302,524,6,120,56,3413,1
541,13,36,7,1,474,857,71,59,46,3860,1
542,0,49,7,0,539,646,96,127,41,1312,0
543,2,15,9,0,223,525,53,109,46,2097,1
544,4,9,1,0,117,706,27,99,58,2121,1
545,5,14,1,0,172,788,93,134,65,3396,0
546,4,45,8,1,526,529,70,117,78,1241,1
547,17,38,8,1,521,902,79,149,48,1319,0
548,7,39,7,1,474,741,58,77,49,3163,1
549,1,13,8,0,191,755,70,70,58,1310,0
550,6,10,6,0,172,785,97,134,56,1877,1
551,17,14,1,0,232,669,25,41,67,3124,1
552,2,19,9,0,263,629,58,100,44,3029,0
553,3,38,10,1,465,639,90,55,76,1874,1
